gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PIK3R3,1.394161708,1.802127829,0.930204811,1.937345203,0.05270316,0.999673974
POMGNT1,1.729146244,0.495311858,0.646404161,0.766257224,0.443523265,0.999673974
LRRC41,3.41875386,0.272322943,0.477416159,0.570409983,0.568399661,0.999673974
UQCRH,38.84633033,0.078497362,0.151629612,0.517691502,0.604673529,0.999673974
NSUN4,0.847959395,-0.5895322,1.29873628,-0.453927567,0.649880962,0.999673974
MKNK1,2.566128456,0.831168596,0.567273842,1.46519817,0.142866859,0.999673974
MOB3C,0.530801312,0.719013314,1.299135667,0.553455141,0.57995179,0.999673974
ATPAF1,4.604626366,0.055509968,0.403941658,0.137420755,0.890698227,0.999673974
EFCAB14,10.56855236,0.191665513,0.27719615,0.691443632,0.489286792,0.999673974
CMPK1,14.49099385,-0.01248687,0.240557996,-0.051907941,0.958602047,0.999673974
FAF1,3.826195474,-0.000221633,0.430805655,-0.000514462,0.999589519,0.999756724
CDKN2C,1.60788234,0.557412813,0.831634337,0.670261902,0.502690849,0.999673974
RNF11,3.627076675,0.697466663,0.441801395,1.578688233,0.114407585,0.999673974
EPS15,9.343973114,-0.036323485,0.287636121,-0.126282766,0.899508098,0.999673974
OSBPL9,6.326062475,-0.465849216,0.378424371,-1.231023295,0.218314152,0.999673974
NRDC,10.25794545,0.293683992,0.297741458,0.986372516,0.323950347,0.999673974
TXNDC12,7.336783372,-0.034622559,0.356289823,-0.097175268,0.922587208,0.999673974
BTF3L4,4.732293456,-0.452900524,0.402933655,-1.124007684,0.261009766,0.999673974
ZFYVE9,0.623089633,-1.676195599,1.234181877,-1.358143099,0.174418282,0.999673974
CC2D1B,2.150387609,0.159616257,0.558926884,0.285576274,0.775202678,0.999673974
PRPF38A,5.443483728,0.299902648,0.417792009,0.717827631,0.472863574,0.999673974
TUT4,9.857212487,0.195604893,0.290681865,0.672917426,0.500999825,0.999673974
GPX7,2.566353665,-0.175396523,0.612145438,-0.286527535,0.774474107,0.999673974
