gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DIAPH1,21.66171312,0.158644389,0.207052108,0.766205142,0.443554249,0.999673974
HDAC3,6.097221216,-0.344003656,0.342512597,-1.004353297,0.315208353,0.999673974
RELL2,2.921677557,-0.097255496,0.504614582,-0.192732235,0.847168677,0.999673974
FCHSD1,3.592215878,-0.170269552,0.478058499,-0.356168863,0.721714109,0.999673974
ARAP3,0.731619493,-0.914206286,0.933080482,-0.979772167,0.327198594,0.999673974
DELE1,5.148665843,0.336494718,0.370105028,0.909187102,0.363251371,0.999673974
RNF14,3.16626285,-0.595883651,0.589596453,-1.010663562,0.312177483,0.999673974
GNPDA1,2.383740209,-0.493615477,0.663930912,-0.74347416,0.45719466,0.999673974
NDFIP1,14.49140315,0.239477467,0.248356225,0.964249911,0.334920647,0.999673974
ARHGAP26,7.317720795,0.321079673,0.335955064,0.95572208,0.339212664,0.999673974
NR3C1,14.14081953,0.148398853,0.280364259,0.529307316,0.596592282,0.999673974
YIPF5,3.863929995,0.27064992,0.430044365,0.629353486,0.529117663,0.999673974
PRELID2,0.521393848,-0.313595819,1.238528206,-0.253200385,0.800113369,0.999673974
SH3RF2,0.269068852,0.368594286,1.568782733,0.234955599,0.814243196,0.999673974
LARS,7.478319248,0.356869661,0.379367426,0.940696633,0.346860345,0.999673974
RBM27,9.343176693,-0.058615882,0.292936698,-0.200097436,0.841404378,0.999673974
TCERG1,5.116579105,0.242970602,0.374182892,0.64933648,0.516120911,0.999673974
PPP2R2B,6.774280497,0.297338426,0.393336297,0.755939454,0.449685498,0.999673974
JAKMIP2,4.004336246,0.79374399,0.471176615,1.684599713,0.092065827,0.999673974
FBXO38,1.866551529,0.038972137,0.589966948,0.06605817,0.947331513,0.999673974
ADRB2,10.02321627,0.980382324,0.307027571,3.19314099,0.001407342,0.205761133
GRPEL2,0.748995327,1.189002339,1.012271256,1.174588661,0.240159322,0.999673974
PCYOX1L,1.015050574,1.451216419,0.913065816,1.589388622,0.111972682,0.999673974
CSNK1A1,15.21002276,-0.215433987,0.227077079,-0.948726256,0.342759856,0.999673974
SLC26A2,0.716480714,-0.889778499,0.912174903,-0.975447248,0.329338457,0.999673974
HMGXB3,2.835074989,-0.055009705,0.510438761,-0.10776945,0.914178577,0.999673974
PDGFRB,0.840726701,2.343857898,1.350241764,1.735880167,0.082585025,0.999673974
TCOF1,5.51550758,-0.695866107,0.446592293,-1.558168642,0.119193276,0.999673974
CD74,187.880961,-0.525742124,0.284191618,-1.849956477,0.064319823,0.999673974
RPS14,701.7118276,-0.289631603,0.192045287,-1.50814221,0.131518134,0.999673974
RBM22,6.940182309,-0.287811624,0.343227965,-0.838543632,0.401725453,0.999673974
DCTN4,4.461171951,-0.312819152,0.466677039,-0.670311856,0.502659011,0.999673974
SMIM3,1.707462621,1.398707464,0.777990718,1.797845953,0.072201423,0.999673974
TNIP1,10.00277515,-0.182156243,0.292839766,-0.622033835,0.53391962,0.999673974
ANXA6,44.37128498,0.235160189,0.168792341,1.393192298,0.163561648,0.999673974
CCDC69,10.01371968,0.187237996,0.281683448,0.664710677,0.506235563,0.999673974
GM2A,0.337190484,-0.745500765,1.303790935,-0.571794714,0.567461059,0.999673974
SLC36A1,0.56076651,0.129139255,1.019115572,0.126716987,0.899164401,0.999673974
ATOX1,7.16801236,0.096290189,0.323913305,0.297271483,0.766259251,0.999673974
AC091982.3,0.462367702,0.030936613,1.460781009,0.021178132,0.983103559,0.999673974
G3BP1,11.79915205,0.034896161,0.271897401,0.128343121,0.897877441,0.999673974
FAM114A2,1.455569645,-0.146900246,0.666508695,-0.220402595,0.825557625,0.999673974
MFAP3,0.769790682,-0.915604062,0.874489489,-1.047015514,0.295092423,0.999673974
GALNT10,5.092799406,0.881398006,0.391352936,2.252181917,0.024310778,0.875038743
SAP30L,3.821878803,-0.186764023,0.43718635,-0.427195459,0.669236969,0.999673974
LARP1,2.93906756,-0.015224252,0.591505475,-0.025738142,0.979466201,0.999673974
CNOT8,6.91057795,0.267803034,0.337657089,0.793121312,0.427707147,0.999673974
GEMIN5,1.049752274,-0.813313165,0.906051126,-0.897645996,0.369374309,0.999673974
MRPL22,6.632983106,-0.237685008,0.350940693,-0.677279704,0.498228506,0.999673974
HAVCR2,0.370316317,-0.290051981,1.367570425,-0.212092902,0.832034557,0.999673974
MED7,2.533917053,0.517428016,0.560321339,0.923448706,0.355773419,0.999673974
ITK,15.96946959,-0.007164446,0.246176236,-0.029102914,0.976782512,0.999673974
CYFIP2,23.87249003,0.292688471,0.18723725,1.56319574,0.118006562,0.999673974
THG1L,0.961237781,-1.976059263,0.852802049,-2.317137096,0.020496265,0.822393362
CLINT1,7.905489454,-0.365054195,0.310493979,-1.175720688,0.239706509,0.999673974
RNF145,5.57803508,-0.306346893,0.360285951,-0.850288202,0.395164874,0.999673974
UBLCP1,6.035557168,0.308485006,0.348411505,0.885404191,0.375938673,0.999673974
TTC1,7.56646978,-0.309055809,0.342197328,-0.903150854,0.366445837,0.999673974
PWWP2A,3.110566324,-0.047023696,0.518508376,-0.09069033,0.927738654,0.999673974
SLU7,7.752206797,0.32916639,0.309514682,1.063492007,0.287558888,0.999673974
PTTG1,3.378906286,0.270583893,0.518634265,0.521723904,0.601862579,0.999673974
CCNG1,6.630722691,-0.281032569,0.322950923,-0.870202093,0.384189973,0.999673974
NUDCD2,5.731149859,-0.191280442,0.372614465,-0.513346798,0.607708754,0.999673974
MAT2B,21.5800358,-0.176069462,0.201339906,-0.874488649,0.381852199,0.999673974
RARS,3.502033307,-0.969086052,0.505717166,-1.916260937,0.05533189,0.999673974
PANK3,1.455601724,-0.011738719,0.712761028,-0.016469362,0.986859944,0.999673974
SPDL1,0.665070751,0.864763837,0.95420192,0.906269228,0.364793369,0.999673974
DOCK2,8.255496308,-0.053927379,0.3491346,-0.15446014,0.877246938,0.999673974
LCP2,31.3844486,0.041818496,0.168974463,0.247484117,0.804533582,0.999673974
NPM1,77.67901603,-0.37559991,0.130080817,-2.887435039,0.003883968,0.363255442
FBXW11,4.393315674,0.139356038,0.459983687,0.302958653,0.761921372,0.999673974
STK10,21.45890261,0.368299338,0.193627576,1.902101684,0.057157862,0.999673974
DUSP1,7.777611878,-0.461965753,0.436661903,-1.05794838,0.290078977,0.999673974
ERGIC1,3.602907663,0.212461665,0.468367427,0.453621778,0.650101076,0.999673974
RPL26L1,3.956423638,-0.175584961,0.445204935,-0.394391319,0.693292152,0.999673974
ATP6V0E1,42.74220649,-0.033245889,0.169309987,-0.196361061,0.844327572,0.999673974
CREBRF,6.642836561,-0.396510404,0.335684767,-1.181198682,0.237523805,0.999673974
BNIP1,1.238727862,-0.527738303,0.770709049,-0.684743878,0.493505556,0.999673974
BOD1,1.269875883,-0.305146461,0.776133527,-0.393162324,0.694199594,0.999673974
CPEB4,0.827556993,-0.073997572,0.852249148,-0.08682622,0.930809646,0.999673974
SFXN1,6.728082845,0.279088923,0.355829484,0.784333327,0.432844549,0.999673974
THOC3,6.027460428,0.048201949,0.363238734,0.132700465,0.894430275,0.999673974
SIMC1,1.414502908,0.112539757,0.70206231,0.160298816,0.872645692,0.999673974
KIAA1191,3.760404138,-0.561642406,0.444098698,-1.264679244,0.205986333,0.999673974
NOP16,2.326169855,0.435679969,0.537173626,0.811059865,0.417331293,0.999673974
HIGD2A,41.02442433,-0.028499942,0.163084801,-0.174755354,0.861271871,0.999673974
CLTB,10.24965675,-0.135770856,0.2659126,-0.510584516,0.609642021,0.999673974
FAF2,3.190076716,-0.208061734,0.481949878,-0.43170824,0.665953478,0.999673974
RNF44,6.842402967,0.226296942,0.475911291,0.47550236,0.634428952,0.999673974
TSPAN17,3.022475436,-0.138580011,0.512190354,-0.270563492,0.786726778,0.999673974
UIMC1,4.483591271,-0.027408481,0.407976671,-0.067181492,0.946437219,0.999673974
ZNF346,1.201509267,0.1552023,0.710909573,0.218315108,0.827183604,0.999673974
NSD1,8.073653305,-0.094504707,0.31428021,-0.300702061,0.763641697,0.999673974
RAB24,5.914262563,0.452078154,0.346938189,1.303050999,0.192557351,0.999673974
MXD3,0.390136658,-0.290896667,1.203207949,-0.241767574,0.808960266,0.999673974
PRELID1,26.92816372,0.1474345,0.191170872,0.771218431,0.440577471,0.999673974
LMAN2,22.3832683,0.159014258,0.206715461,0.769242213,0.441749535,0.999673974
RGS14,7.760334008,0.072394906,0.357910536,0.202270956,0.839704905,0.999673974
GRK6,12.47235632,-0.556911883,0.302664864,-1.840028193,0.065764098,0.999673974
PRR7,2.348175964,-1.554791311,0.799340731,-1.945092061,0.051763899,0.999673974
DBN1,3.100690444,-1.362650126,0.699827952,-1.947121607,0.051520157,0.999673974
PDLIM7,0.638455198,-0.92784942,1.083219686,-0.856566246,0.391684647,0.999673974
DDX41,3.084012012,-0.448770045,0.473922917,-0.946926239,0.343676366,0.999673974
FAM193B,2.009078993,-0.29076046,0.620165441,-0.468843377,0.639181592,0.999673974
TMED9,16.99079673,0.030519676,0.296416037,0.102962295,0.917992896,0.999673974
B4GALT7,1.069903384,-0.642974068,0.849726332,-0.756683704,0.44923938,0.999673974
FAM153CP,5.620125583,-0.216060585,0.418002359,-0.516888435,0.605234041,0.999673974
RMND5B,1.698327204,-1.098612918,0.745111906,-1.474426739,0.140366729,0.999673974
NHP2,12.37525084,0.03847081,0.254591485,0.151108001,0.879890521,0.999673974
HNRNPAB,8.431762663,0.584944963,0.316096362,1.850527347,0.06423758,0.999673974
PHYKPL,10.2248669,0.1235956,0.314244565,0.393310225,0.694090367,0.999673974
CLK4,4.183162216,-0.492664439,0.422020741,-1.167393903,0.243051332,0.999673974
ZNF354A,1.165304104,0.426781594,0.705573016,0.60487233,0.54526383,0.999673974
ZNF354B,1.558013991,-0.538984984,0.665291858,-0.810148175,0.417855019,0.999673974
ZNF354C,0.366684367,-0.748037798,1.186063688,-0.630689402,0.52824363,0.999673974
RUFY1,4.272294613,-0.188103693,0.41772745,-0.450302446,0.652492376,0.999673974
HNRNPH1,9.672993024,-0.234590014,0.290186928,-0.80841,0.418854597,0.999673974
CANX,20.71692029,-0.013249998,0.200500433,-0.066084637,0.947310442,0.999673974
MAML1,4.071387566,0.094848402,0.429536118,0.220815894,0.825235787,0.999673974
LTC4S,0.53801963,0.859988022,1.099821127,0.781934445,0.434253101,0.999673974
MGAT4B,4.451587335,-0.01731045,0.38328524,-0.045163361,0.963977098,0.999673974
SQSTM1,22.35212934,0.118276681,0.21855139,0.541184757,0.588380243,0.999673974
MRNIP,2.180302085,-0.334505781,0.662281558,-0.505080923,0.613502,0.999673974
TBC1D9B,2.450006168,0.738265827,0.524178107,1.408425528,0.159005104,0.999673974
RNF130,4.228490706,0.322465423,0.494056429,0.652689458,0.5139565,0.999673974
MAPK9,3.560435789,0.550776116,0.432756432,1.272716189,0.203118771,0.999673974
CNOT6,2.605558181,0.365281029,0.595624353,0.613274168,0.539695071,0.999673974
MGAT1,8.447996948,0.387118291,0.295808065,1.308680647,0.19064255,0.999673974
HEIH,2.666968983,-0.207942529,0.520227179,-0.39971485,0.689366553,0.999673974
LINC00847,2.23527685,0.994208153,0.891783583,1.114853617,0.264913156,0.999673974
ZFP62,1.45503791,0.748163121,0.712636742,1.049852017,0.293786155,0.999673974
TRIM41,1.734876404,-0.450023033,0.670125279,-0.6715506,0.501869837,0.999673974
RACK1,245.799189,-0.288082369,0.085228361,-3.380123313,0.000724533,0.131066819
AC008443.1,0.85541095,-0.67656439,0.899827303,-0.751882486,0.452121731,0.999673974
TRIM52,2.288558785,-0.432598578,0.580565901,-0.745132597,0.456191565,0.999673974
TRIM52-AS1,3.000287656,0.978666056,0.503883384,1.942247131,0.05210719,0.999673974
DUSP22,4.008009214,-0.136460024,0.425927956,-0.320382878,0.748678103,0.999673974
IRF4,1.43481943,-0.168131203,0.833642223,-0.201682686,0.840164799,0.999673974
EXOC2,4.29680363,0.122375659,0.4006187,0.305466666,0.760010754,0.999673974
GMDS,3.451675128,0.033390433,0.479003822,0.069708072,0.944426017,0.999673974
GMDS-DT,1.465300436,-0.617647174,0.686988053,-0.899065378,0.368617838,0.999673974
WRNIP1,5.066365295,-0.05954976,0.386169938,-0.154206099,0.877447234,0.999673974
SERPINB1,22.97556602,0.153704932,0.240958555,0.637889498,0.523545614,0.999673974
SERPINB9,13.78799032,0.28036831,0.30201832,0.928315575,0.353243897,0.999673974
SERPINB6,11.0741717,0.243746557,0.302766103,0.805065543,0.420781858,0.999673974
LINC01011,0.292168941,1.031888693,1.555747616,0.663275124,0.507154366,0.999673974
NQO2,2.594981352,-0.219489171,0.527842492,-0.415823231,0.677539358,0.999673974
RIPK1,4.83804178,0.400628166,0.424254482,0.944310979,0.345010757,0.999673974
AL031963.3,0.334349326,-0.594738596,1.559712449,-0.381312976,0.702971026,0.999673974
BPHL,0.564455037,0.926287763,1.295803597,0.714836543,0.474710052,0.999673974
TUBB2A,0.281889054,-0.085198215,1.902280965,-0.044787398,0.96427677,0.999673974
PSMG4,5.311642699,-0.330863648,0.382798708,-0.864328018,0.387407723,0.999673974
FAM50B,0.773062664,0.54979047,0.938433964,0.585859518,0.557969923,0.999673974
PRPF4B,13.07550629,-0.119850553,0.247313415,-0.484609995,0.627953022,0.999673974
ECI2,4.738077518,-0.174651067,0.446951989,-0.390760241,0.695974466,0.999673974
CDYL,2.427299006,-0.108630194,0.55427115,-0.195987459,0.844619982,0.999673974
LYRM4,1.522574159,0.854545984,0.714956977,1.195241129,0.231992833,0.999673974
FARS2,2.243669009,-0.548918259,0.562947445,-0.975079048,0.329521051,0.999673974
RREB1,1.387415435,0.938136176,0.770965487,1.216832909,0.223667796,0.999673974
SSR1,9.8519019,-0.21815867,0.28351518,-0.769477917,0.441609649,0.999673974
RIOK1,2.661701041,-0.022646031,0.498428058,-0.045434904,0.96376066,0.999673974
SNRNP48,3.188105285,-0.539220319,0.564936947,-0.954478764,0.339841354,0.999673974
TXNDC5,1.746625246,0.413035615,0.650473968,0.634976395,0.52544381,0.999673974
BLOC1S5,2.318932761,-0.174329748,0.577462741,-0.301889171,0.762736551,0.999673974
EEF1E1,3.866158912,0.152783105,0.414172531,0.368887587,0.712211516,0.999673974
SLC35B3,1.537143448,0.207004113,0.676347754,0.306061655,0.759557703,0.999673974
PAK1IP1,1.986284089,-0.788673194,0.614005646,-1.284472218,0.198976778,0.999673974
TMEM14C,3.631452949,-0.733384628,0.57041318,-1.285707718,0.198545087,0.999673974
TMEM14B,16.27112556,-0.259350413,0.215062063,-1.205932878,0.227843372,0.999673974
SMIM13,1.932050271,0.804080117,0.655297097,1.227046665,0.219805052,0.999673974
NEDD9,3.235726283,0.148806052,0.635249018,0.234248378,0.81479216,0.999673974
TMEM170B,0.393715781,-0.597060092,1.276036772,-0.467901948,0.63985471,0.999673974
HIVEP1,0.596939106,-0.670283076,1.059989034,-0.632349067,0.527158808,0.999673974
TBC1D7,1.673106429,-0.459199009,0.609814269,-0.753014537,0.451441179,0.999673974
GFOD1,1.259741077,-0.707985734,0.907733585,-0.779948814,0.435421004,0.999673974
SIRT5,1.035329952,-0.53508398,0.838417578,-0.638207015,0.523338931,0.999673974
NOL7,16.25039502,-0.373703871,0.243852881,-1.532497255,0.125399775,0.999673974
RANBP9,4.351810792,-0.178499718,0.455022066,-0.392288048,0.694845393,0.999673974
MCUR1,3.368628562,0.432151243,0.432457291,0.999292304,0.317653112,0.999673974
CD83,0.813832663,0.730666301,0.958072978,0.762641592,0.445677173,0.999673974
JARID2,4.85857325,0.362757379,0.411111719,0.882381509,0.377570532,0.999673974
JARID2-AS1,0.446389114,1.553333739,1.612521274,0.963295036,0.335399484,0.999673974
DTNBP1,6.208913297,0.033660463,0.495702815,0.067904524,0.945861638,0.999673974
MYLIP,6.061691221,-0.015790924,0.44092317,-0.035813322,0.97143121,0.999673974
ATXN1,4.137626877,-0.215112199,0.449043158,-0.479045712,0.631906109,0.999673974
AL137003.1,0.213316395,-1.205803246,1.928184561,-0.625356758,0.531736936,0.999673974
FAM8A1,2.594957178,0.02199357,0.57120019,0.038504136,0.969285734,0.999673974
NUP153,2.5583759,0.025258338,0.491848879,0.051353859,0.959043551,0.999673974
AL138724.1,0.930831047,0.659895598,1.002502906,0.658248065,0.510378744,0.999673974
KIF13A,0.50182076,-0.342956078,1.4891544,-0.230302565,0.817856668,0.999673974
TPMT,2.074843194,0.444349794,0.597591535,0.743567751,0.457138019,0.999673974
KDM1B,1.119621401,0.467297834,0.811226107,0.576038949,0.564588855,0.999673974
DEK,24.35232397,-0.143261027,0.179424386,-0.798447915,0.424610607,0.999673974
MBOAT1,0.624364575,-0.591471925,1.331091448,-0.444351082,0.656788775,0.999673974
E2F3,2.793825907,-0.566835712,0.502223687,-1.128651888,0.259044713,0.999673974
CDKAL1,1.688559381,0.198703537,0.68726734,0.28912117,0.772488654,0.999673974
SOX4,0.453360751,1.262378836,1.379299608,0.91523178,0.360069964,0.999673974
MRS2,2.905609553,0.505120631,0.535182978,0.943827908,0.345257597,0.999673974
ALDH5A1,0.664741795,0.13354259,1.094766923,0.121982668,0.902912745,0.999673974
TDP2,4.655811806,0.261849524,0.387111532,0.676418816,0.498774774,0.999673974
ACOT13,2.003409537,-0.766583129,0.60845941,-1.259875543,0.207714263,0.999673974
C6orf62,4.204873177,-0.633388452,0.449500476,-1.409094064,0.158807356,0.999673974
GMNN,0.706461089,-0.434878211,1.080617097,-0.402435065,0.687363869,0.999673974
RIPOR2,32.83395949,-0.408260682,0.205194814,-1.989624754,0.046632287,0.999673974
TRIM38,5.929811129,0.113312719,0.349742792,0.32398872,0.745946574,0.999673974
HIST1H1C,12.81776745,-0.378341506,0.445536259,-0.849182302,0.39577986,0.999673974
HIST1H4C,32.1831229,0.099293689,0.210369986,0.471995509,0.636929994,0.999673974
HIST1H2BC,1.871971414,0.376518054,0.787278746,0.478252533,0.632470476,0.999673974
HIST1H2AC,3.98612909,0.046809871,0.682492413,0.068586655,0.945318642,0.999673974
HIST1H1E,40.89470976,0.2042041,0.362725953,0.562970743,0.573454806,0.999673974
HIST1H2BD,0.171495433,-0.230142822,2.022938201,-0.11376661,0.909422808,0.999673974
HIST1H4D,0.594895053,-0.337466343,1.082990638,-0.311605965,0.75534,0.999673974
HIST1H3D,5.016616089,-0.174996234,0.52306376,-0.334560044,0.73795699,0.999673974
HIST1H2BF,0.426759098,-0.380626317,1.108688169,-0.343312328,0.731363507,0.999673974
HIST1H4E,0.667242849,-0.005260754,1.057795466,-0.004973318,0.996031882,0.999673974
HIST1H2AE,0.457216939,-0.196131417,1.19190868,-0.164552386,0.869296311,0.999673974
HIST1H1D,13.48321512,-0.082291884,0.415537424,-0.198037239,0.843015928,0.999673974
HIST1H4F,0.967293076,-0.945464277,0.808582602,-1.169285951,0.242288442,0.999673974
HIST1H4H,0.768961528,-0.18731727,0.914129974,-0.204913169,0.837639966,0.999673974
BTN3A2,20.12940446,0.211197994,0.221638706,0.952893101,0.340644236,0.999673974
BTN2A2,1.068661025,-0.918545527,0.880013105,-1.043786192,0.296584321,0.999673974
BTN3A1,12.07895914,-0.045308697,0.242062271,-0.187177856,0.851521186,0.999673974
BTN3A3,6.791330782,0.234119995,0.36523775,0.641007112,0.521518062,0.999673974
BTN2A1,3.042820209,-0.156941076,0.455692054,-0.344401607,0.73054428,0.999673974
HCG11,1.728618054,-0.590965427,0.793261919,-0.744981465,0.456282925,0.999673974
HMGN4,13.05421095,-0.315862783,0.257343268,-1.227398661,0.219672789,0.999673974
ABT1,8.617955063,-0.224746857,0.38040006,-0.590817093,0.554642981,0.999673974
ZNF322,1.525083165,0.078743109,0.674279773,0.116781064,0.90703355,0.999673974
HIST1H2AG,1.11455265,-0.577905157,0.820366334,-0.704447676,0.481154024,0.999673974
HIST1H2BK,1.477564549,-0.459093421,0.853100624,-0.538146859,0.590475664,0.999673974
ZNF184,0.993119594,0.903829213,0.882857752,1.023754066,0.305951451,0.999673974
AL009179.2,0.347896098,1.343236993,1.407929947,0.954051013,0.340057821,0.999673974
HIST1H2AI,1.044203008,-0.88945854,0.896890112,-0.991714067,0.321337027,0.999673974
HIST1H3H,1.037193077,-0.515868495,0.889404587,-0.580015556,0.561904128,0.999673974
HIST1H2AJ,0.248076993,0.627268521,1.602188824,0.391507238,0.69542234,0.999673974
HIST1H2BN,1.204480534,0.988414925,0.848514403,1.164877014,0.244068779,0.999673974
HIST1H2AK,1.616295013,0.241755045,0.733843962,0.32943658,0.741825723,0.999673974
HIST1H2AL,0.377075935,1.013452208,1.165371437,0.869638791,0.384497832,0.999673974
HIST1H1B,1.031503258,-0.131499647,0.796466954,-0.165103707,0.868862355,0.999673974
HIST1H3J,0.623557992,-1.647159755,1.203451843,-1.368696026,0.171094313,0.999673974
HIST1H2AM,0.619114135,0.164397073,1.061668935,0.154847776,0.876941326,0.999673974
ZSCAN16-AS1,4.761779709,-0.419393884,0.524677374,-0.799336707,0.4240952,0.999673974
ZSCAN16,1.0053099,0.771252878,0.814538802,0.946858365,0.343710956,0.999673974
ZKSCAN8,1.751472762,-0.997724294,0.698857786,-1.427649965,0.153392634,0.999673974
ZSCAN9,0.720098658,0.667083858,1.043206102,0.639455479,0.522526667,0.999673974
ZKSCAN4,0.693265032,-0.870272059,1.060065982,-0.820960274,0.411668897,0.999673974
ZSCAN26,2.213822591,-0.528845051,0.65613212,-0.806003906,0.420240597,0.999673974
ZKSCAN3,0.375232311,-0.106477992,1.253984698,-0.084911716,0.932331578,0.999673974
TRIM27,6.308168056,-0.319674861,0.400133429,-0.798920653,0.424336423,0.999673974
GABBR1,0.524107556,0.224385608,1.027909986,0.218293052,0.827200788,0.999673974
HLA-F,48.30926393,-0.058686792,0.168038893,-0.349245293,0.726905166,0.999673974
HLA-F-AS1,1.600512536,-0.507141297,0.691079876,-0.733838901,0.463046928,0.999673974
HLA-G,0.860300483,0.905980215,1.02467566,0.884162911,0.376608276,0.999673974
HLA-A,662.5028945,0.087474408,0.08464991,1.033366813,0.301432271,0.999673974
ZNRD1,10.05611692,0.070161338,0.29280998,0.23961389,0.810629596,0.999673974
PPP1R11,7.972770489,-0.393041326,0.329480625,-1.192911801,0.232903917,0.999673974
TRIM26,3.613896162,0.131499406,0.424919222,0.309469186,0.756964648,0.999673974
HCG18,6.977366423,-0.221625531,0.357816245,-0.619383649,0.53566365,0.999673974
TRIM39,1.434578574,-0.051769524,0.835029705,-0.061997224,0.950565042,0.999673974
RPP21,6.930494761,0.130355003,0.354475119,0.367740911,0.713066432,0.999673974
HLA-E,211.7417151,0.037452729,0.105799234,0.353998107,0.723340302,0.999673974
GNL1,4.646966778,-0.637894699,0.421791151,-1.512347278,0.13044554,0.999673974
PRR3,1.842405366,0.401643059,0.647568626,0.620232424,0.535104778,0.999673974
ABCF1,9.642139166,-0.260063119,0.27031513,-0.962073854,0.336012507,0.999673974
PPP1R10,5.206916307,-0.226604125,0.364686582,-0.621366774,0.534358328,0.999673974
MRPS18B,6.93611778,0.050626705,0.322344898,0.157057566,0.87519948,0.999673974
ATAT1,0.652241751,0.768773518,1.035143247,0.742673558,0.457679342,0.999673974
C6orf136,2.783093654,1.171103618,0.501904058,2.333321677,0.019631269,0.805863575
DHX16,2.708003203,0.036017348,0.51851852,0.069462028,0.944621857,0.999673974
PPP1R18,25.92443862,0.288897301,0.217850328,1.326127454,0.184797484,0.999673974
NRM,1.677451558,1.00006414,0.730121518,1.369722868,0.170773427,0.999673974
MDC1,2.598043626,0.351956098,0.630400321,0.558305709,0.576635647,0.999673974
TUBB,23.86722696,0.186818736,0.192638541,0.969788991,0.332151681,0.999673974
FLOT1,11.66865272,0.157886289,0.291996198,0.540713512,0.588705064,0.999673974
IER3-AS1,0.420083806,-0.008264993,1.680491418,-0.0049182,0.99607586,0.999673974
IER3,0.348386545,0.394400541,1.559164029,0.252956413,0.800301895,0.999673974
LINC00243,1.44440563,-1.502853788,0.879024786,-1.709683063,0.087324496,0.999673974
GTF2H4,1.841187782,0.505153797,0.710661288,0.710822168,0.477194442,0.999673974
VARS2,0.802825879,-0.056981259,0.912415905,-0.062450971,0.950203705,0.999673974
CCHCR1,0.793542245,-0.273090718,0.862326217,-0.316690729,0.751478284,0.999673974
AL662844.4,1.607852103,0.270567567,0.692148103,0.390909931,0.695863813,0.999673974
HLA-C,641.0704222,0.182284965,0.194034586,0.939445739,0.347501939,0.999673974
HLA-B,1167.50032,0.097602367,0.071336552,1.36819576,0.171250808,0.999673974
MICA,1.313380082,0.810266644,0.720089433,1.125230572,0.260491341,0.999673974
HCP5,6.677647289,-0.172318088,0.325624897,-0.529191994,0.59667227,0.999673974
MICB,2.077002553,-0.595645164,0.577090295,-1.032152454,0.302000704,0.999673974
DDX39B,17.15951408,-0.163189798,0.227857453,-0.716192496,0.473872496,0.999673974
NFKBIL1,1.135854249,0.945912341,0.78142552,1.210495841,0.226088686,0.999673974
LTA,0.646670817,-0.070793087,1.072255991,-0.066022561,0.947359864,0.999673974
TNF,0.928502336,1.337164844,1.000621157,1.33633477,0.181439877,0.999673974
LTB,39.40437498,-2.27072728,0.439600667,-5.165431836,2.40E-07,0.000232753
LST1,2.007993842,0.742575137,0.683728631,1.086067049,0.277449329,0.999673974
NCR3,8.77408276,0.581352157,0.504744084,1.151776068,0.249413104,0.999673974
AIF1,3.556779493,-0.766575394,0.485001696,-1.580562295,0.113978153,0.999673974
PRRC2A,9.115584151,0.112921424,0.284010102,0.397596504,0.690927638,0.999673974
BAG6,5.911386066,-0.029521157,0.378404383,-0.078014839,0.937816249,0.999673974
APOM,0.443044055,-1.699203756,1.200487699,-1.415427878,0.156943081,0.999673974
C6orf47,2.568884039,-0.020650884,0.506659367,-0.04075891,0.967488097,0.999673974
GPANK1,2.437312904,-0.429021344,0.550874572,-0.778800412,0.436097295,0.999673974
CSNK2B,27.40335211,0.034995495,0.166410671,0.210295978,0.833436674,0.999673974
LY6G5B,0.407724973,0.585789258,1.472105452,0.397926152,0.690684622,0.999673974
LY6G5C,1.145036814,-0.257045137,1.039857,-0.247192775,0.804759037,0.999673974
ABHD16A,4.508479694,-0.27654439,0.380609692,-0.726582627,0.467481674,0.999673974
DDAH2,3.382672261,0.6526452,0.4877135,1.338173333,0.18083994,0.999673974
CLIC1,89.73354394,0.391442264,0.159278822,2.457591397,0.013987221,0.72468745
MSH5,0.612990302,0.023226424,1.225691801,0.018949645,0.984881276,0.999673974
VARS,1.726435777,0.391878613,0.654585684,0.598666642,0.549395206,0.999673974
LSM2,11.37528443,-0.070729829,0.261424737,-0.270555226,0.786733136,0.999673974
HSPA1A,7.249831662,-0.034908896,0.519411162,-0.067208599,0.94641564,0.999673974
HSPA1B,0.46094645,-0.084215879,1.184889002,-0.07107491,0.943338137,0.999673974
SNHG32,6.405983002,-0.558773727,0.382980316,-1.45901422,0.144561194,0.999673974
NEU1,1.68980641,0.135514216,0.735685305,0.184201335,0.853855512,0.999673974
EHMT2,4.090567268,-0.437293026,0.438241699,-0.997835274,0.318359242,0.999673974
NELFE,7.859952732,-0.173160487,0.309093746,-0.560219962,0.575329413,0.999673974
SKIV2L,3.048380683,0.275668177,0.479990354,0.574320243,0.565751113,0.999673974
DXO,1.765847386,0.114601481,0.619155143,0.185093319,0.853155841,0.999673974
STK19,1.737112547,-0.195122431,0.595078077,-0.327893832,0.742991937,0.999673974
ATF6B,9.857105303,0.075168304,0.297304285,0.252832897,0.800397345,0.999673974
FKBPL,0.269353157,0.570353022,1.531487967,0.372417566,0.709581977,0.999673974
PPT2,1.0042897,0.066324839,0.82270975,0.080617543,0.935746114,0.999673974
AGPAT1,3.626498618,0.539492859,0.467842328,1.153151022,0.248848403,0.999673974
RNF5,7.591985,0.075735693,0.30784056,0.246022465,0.805664842,0.999673974
